,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer
3526,Divock Origi,Centre-Forward,19,Lille,Ligue_1,Liverpool,EPL,2014,1.0,12.63
3527,Jack Rodwell,Defensive Midfield,23,Manchester City,EPL,Sunderland,EPL,2014,12.0,12.6
3528,Manolo Gabbiadini,Centre-Forward,23,Sampdoria,Serie_A,Napoli,Serie_A,2014,12.0,12.5
3529,Fraser Forster,Goalkeeper,26,Celtic,Premiership,Southampton,EPL,2014,4.5,12.5
3530,Marc-AndrÃ© ter Stegen,Goalkeeper,22,Borussia M.Gladbach,Bundesliga,Barcelona,La_liga,2014,20.0,12.0
3531,NicolÃ¡s Otamendi,Centre-Back,26,FC Porto,Liga NOS,Valencia,La_liga,2014,12.0,12.0
3532,Kevin Kampl,Central Midfield,24,RB Salzburg,Bundesliga,Borussia Dortmund,Bundesliga,2014,9.0,12.0
3533,Emre Can,Defensive Midfield,20,Bayer Leverkusen,Bundesliga,Liverpool,EPL,2014,7.5,12.0
3534,Abel HernÃ¡ndez,Centre-Forward,24,Palermo,Serie_A,Hull,EPL,2014,5.0,12.0
3535,Claudio Bravo,Goalkeeper,31,Real Sociedad,La_liga,Barcelona,La_liga,2014,4.0,12.0
3541,Graziano PellÃ¨,Centre-Forward,29,Feyenoord,Eredivisie,Southampton,EPL,2014,6.5,11.0
3542,Steven Caulker,Centre-Back,22,Cardiff,Championship,Queens Park Rangers,EPL,2014,7.5,10.75
3543,RaÃºl JimÃ©nez,Centre-Forward,23,AmÃ©rica,Liga MX Clausura,Atletico Madrid,La_liga,2014,10.0,10.5
3544,Gylfi Sigurdsson,Attacking Midfield,24,Tottenham,EPL,Swansea,EPL,2014,8.0,10.1
3545,Leonardo Ulloa,Centre-Forward,28,Brighton,Championship,Leicester,EPL,2014,2.0,10.1
3546,Matthias Ginter,Centre-Back,20,Freiburg,Bundesliga,Borussia Dortmund,Bundesliga,2014,12.0,10.0
3547,RÃ©my Cabella,Attacking Midfield,24,Montpellier,Ligue_1,Newcastle United,EPL,2014,10.0,10.0
3548,Keylor Navas,Goalkeeper,27,Levante UD,La_liga,Real Madrid,La_liga,2014,10.0,10.0
3549,Leroy Fer,Central Midfield,24,Norwich,Championship,Queens Park Rangers,EPL,2014,8.5,10.0
3550,Guilherme Siqueira,Left-Back,28,Granada CF,La_liga,Atletico Madrid,La_liga,2014,8.0,10.0
3551,Federico Fazio,Centre-Back,27,Sevilla,La_liga,Tottenham,EPL,2014,8.0,10.0
3552,Federico FernÃ¡ndez,Centre-Back,25,Napoli,Serie_A,Swansea,EPL,2014,5.0,10.0
3553,Juan Bernat,Left-Back,21,Valencia,La_liga,Bayern Munich,Bundesliga,2014,4.0,10.0
3556,AdriÃ¡n Ramos,Centre-Forward,28,Hertha Berlin,Bundesliga,Borussia Dortmund,Bundesliga,2014,11.0,9.7
3557,Stefano Sturaro,Central Midfield,21,Genoa,Serie_A,Juventus,Serie_A,2014,3.5,9.6
3559,Xabi Alonso,Defensive Midfield,32,Real Madrid,La_liga,Bayern Munich,Bundesliga,2014,8.0,9.0
3560,Yann Sommer,Goalkeeper,25,FC Basel,Super League,Borussia M.Gladbach,Bundesliga,2014,8.0,9.0
3561,Andrej Kramaric,Centre-Forward,23,HNK Rijeka,1.HNL,Leicester,EPL,2014,4.5,9.0
3563,James McArthur,Central Midfield,26,Wigan,Championship,Crystal Palace,EPL,2014,3.0,8.8
3564,Siem de Jong,Attacking Midfield,25,AFC Ajax,Eredivisie,Newcastle United,EPL,2014,10.0,8.7
3565,Pierre-Michel Lasogga,Centre-Forward,22,Hertha Berlin,Bundesliga,Hamburger SV,Bundesliga,2014,9.0,8.5
3566,JoaquÃ­n Correa,Left Winger,20,Estudiantes,Primera DivisiÃ³n,Sampdoria,Serie_A,2014,8.0,8.4
3567,Ciro Immobile,Centre-Forward,24,Juventus,Serie_A,Torino,Serie_A,2014,18.0,8.0
3568,Shinji Kagawa,Attacking Midfield,25,Manchester United,EPL,Borussia Dortmund,Bundesliga,2014,15.0,8.0
3569,Gary Medel,Defensive Midfield,27,Cardiff,Championship,Inter,Serie_A,2014,11.0,8.0
3570,Alfred Finnbogason,Centre-Forward,25,Heerenveen,Eredivisie,Real Sociedad,La_liga,2014,9.0,8.0
3573,Shkodran Mustafi,Centre-Back,22,Sampdoria,Serie_A,Valencia,La_liga,2014,7.0,8.0
3575,Willy Caballero,Goalkeeper,32,MÃ¡laga CF,La_liga,Manchester City,EPL,2014,5.0,8.0
3578,TiemouÃ© Bakayoko,Defensive Midfield,19,Rennes,Ligue_1,Monaco,Ligue_1,2014,1.25,8.0
3579,Kalidou Koulibaly,Centre-Back,23,KRC Genk,Jupiler Pro League,Napoli,Serie_A,2014,6.5,7.75
3581,Jordon Mutch,Central Midfield,22,Cardiff,Championship,Queens Park Rangers,EPL,2014,3.0,7.57
3582,Sandro,Defensive Midfield,25,Tottenham,EPL,Queens Park Rangers,EPL,2014,11.0,7.5
3583,Cheikhou KouyatÃ©,Defensive Midfield,24,RSC Anderlecht,Jupiler Pro League,West Ham,EPL,2014,7.0,7.5
3585,Robert Snodgrass,Right Winger,26,Norwich,Championship,Hull,EPL,2014,5.5,7.5
3586,Ãngel Correa,Right Winger,19,San Lorenzo,Torneo Inicial,Atletico Madrid,La_liga,2014,5.0,7.5
3588,Mapou Yanga-Mbiwa,Centre-Back,25,Newcastle United,EPL,Roma,Serie_A,2014,6.0,7.35
3591,Nuri Sahin,Defensive Midfield,25,Real Madrid,La_liga,Borussia Dortmund,Bundesliga,2014,12.0,7.0
3592,Giacomo Bonaventura,Central Midfield,25,Atalanta,Serie_A,AC Milan,Serie_A,2014,10.0,7.0
3593,Tin Jedvaj,Centre-Back,19,Roma,Serie_A,Bayer Leverkusen,Bundesliga,2014,6.5,7.0
3594,Stefan de Vrij,Centre-Back,22,Feyenoord,Eredivisie,Lazio,Serie_A,2014,6.0,7.0
3596,Jake Livermore,Defensive Midfield,24,Tottenham,EPL,Hull,EPL,2014,2.5,7.0
3600,Josip Drmic,Centre-Forward,21,1.FC Nuremberg,2.Bundesliga,Bayer Leverkusen,Bundesliga,2014,10.0,6.8
3601,Florin Gardos,Centre-Back,25,FCS Bucharest,Liga 1,Southampton,EPL,2014,6.0,6.8
3602,Dele Alli,Attacking Midfield,18,MK Dons,League One,Tottenham,EPL,2014,2.0,6.63
3603,Kyle Naughton,Right-Back,26,Tottenham,EPL,Swansea,EPL,2014,5.0,6.6
3607,Wendell,Left-Back,20,GrÃªmio,SÃ©rie A,Bayer Leverkusen,Bundesliga,2014,3.0,6.5
3608,Callum McManaman,Right Winger,23,Wigan,Championship,West Bromwich Albion,EPL,2014,3.0,6.35
3609,Jordon Mutch,Central Midfield,23,Queens Park Rangers,EPL,Crystal Palace,EPL,2014,6.0,6.34
3610,Emmanuel RiviÃ¨re,Centre-Forward,24,Monaco,Ligue_1,Newcastle United,EPL,2014,5.0,6.32
3614,Antonio Sanabria,Centre-Forward,18,Sassuolo,Serie_A,Roma,Serie_A,2014,4.5,6.2
3616,Valon Behrami,Defensive Midfield,29,Napoli,Serie_A,Hamburger SV,Bundesliga,2014,12.0,6.0
3618,Jonathan de GuzmÃ¡n,Central Midfield,26,Villarreal,La_liga,Napoli,Serie_A,2014,10.0,6.0
3620,Michy Batshuayi,Centre-Forward,20,Standard LiÃ¨ge,Jupiler Pro League,Marseille,Ligue_1,2014,8.0,6.0
3621,ÃdÃ¡m Szalai,Centre-Forward,26,Schalke 04,Bundesliga,Hoffenheim,Bundesliga,2014,7.0,6.0
3625,Admir Mehmedi,Second Striker,23,Dynamo Kyiv,Premier Liga,Freiburg,Bundesliga,2014,5.5,6.0
3628,Daryl Janmaat,Right-Back,25,Feyenoord,Eredivisie,Newcastle United,EPL,2014,5.0,6.0
3629,Carlos SÃ¡nchez,Defensive Midfield,28,Elche CF,La_liga,Aston Villa,EPL,2014,4.0,6.0
3631,Filip Kostic,Left Winger,21,FC Groningen,Eredivisie,VfB Stuttgart,Bundesliga,2014,2.5,6.0
3633,Benjamin Stambouli,Centre-Back,24,Montpellier,Ligue_1,Tottenham,EPL,2014,5.0,5.9
3635,Ishak Belfodil,Second Striker,22,Inter,Serie_A,Parma,Serie_A,2014,7.0,5.75
3636,Eric Bailly,Centre-Back,20,Espanyol,La_liga,Villarreal,La_liga,2014,1.0,5.7
3637,Michel Vorm,Goalkeeper,30,Swansea,EPL,Tottenham,EPL,2014,7.0,5.69
3639,Luciano Vietto,Centre-Forward,20,Racing Club,Torneo Inicial,Villarreal,La_liga,2014,8.5,5.5
3640,Sime Vrsaljko,Right-Back,22,Genoa,Serie_A,Sassuolo,Serie_A,2014,7.5,5.5
3641,Oliver Baumann,Goalkeeper,24,Freiburg,Bundesliga,Hoffenheim,Bundesliga,2014,7.0,5.5
3642,Rickie Lambert,Centre-Forward,32,Southampton,EPL,Liverpool,EPL,2014,5.0,5.5
